DESTINI_ID,Stone_ID,Deposit_ID,Location_Specific,Stone_ID,Stone_Type,Provenance_1,Colour,Deposit_ID,Deposit,Lower_Date,Upper_Date,Archaeological_Context
97,16,2,Aquileia,16,Ardesia,Northern_Italy,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
98,16,2,Aquileia,16,Ardesia,Northern_Italy,Polychrome,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
99,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
100,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
101,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
102,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
103,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
104,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
105,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
106,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
107,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
108,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
109,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
110,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
111,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
112,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
113,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
